DEBUG:django.db.backends: (0.000) SELECT `favorites`.`id`, `favorites`.`PostId`, `favorites`.`ProfileId`, `favorites`.`Type`, `favorites`.`CreateDate` FROM `favorites` WHERE (`favorites`.`ProfileId` = 5 AND `favorites`.`PostId` = 15 AND `favorites`.`Type` = 'B'); args=(5, 15, 'B') (2016-02-03 10:28:14; utils.py:89)
DEBUG:django.db.backends: (0.000) SELECT `favorites`.`id`, `favorites`.`PostId`, `favorites`.`ProfileId`, `favorites`.`Type`, `favorites`.`CreateDate` FROM `favorites` WHERE `favorites`.`PostId` = 15; args=(15,) (2016-02-03 10:28:14; utils.py:89)
DEBUG:django.db.backends: (0.000) SELECT `profiles`.`id`, `profiles`.`UserId`, `profiles`.`FirstName`, `profiles`.`LastName`, `profiles`.`Gender`, `profiles`.`Age`, `profiles`.`ProfilePhoto`, `profiles`.`Banner`, `profiles`.`Website`, `profiles`.`Bio`, `profiles`.`Type`, `profiles`.`Location`, `profiles`.`ReferalCode`, `profiles`.`DefaultPage`, `profiles`.`UpdateDate` FROM `profiles` WHERE `profiles`.`UserId` = 5; args=(5,) (2016-02-03 10:28:14; utils.py:89)
DEBUG:django.db.backends: (0.000) SELECT `favorites`.`id`, `favorites`.`PostId`, `favorites`.`ProfileId`, `favorites`.`Type`, `favorites`.`CreateDate` FROM `favorites` WHERE (`favorites`.`ProfileId` = 5 AND `favorites`.`PostId` = 14 AND `favorites`.`Type` = 'F'); args=(5, 14, 'F') (2016-02-03 10:28:14; utils.py:89)
DEBUG:django.db.backends: (0.000) SELECT `favorites`.`id`, `favorites`.`PostId`, `favorites`.`ProfileId`, `favorites`.`Type`, `favorites`.`CreateDate` FROM `favorites` WHERE (`favorites`.`ProfileId` = 5 AND `favorites`.`PostId` = 14 AND `favorites`.`Type` = 'B'); args=(5, 14, 'B') (2016-02-03 10:28:14; utils.py:89)
DEBUG:django.db.backends: (0.000) SELECT `postlikes`.`id`, `postlikes`.`PostId`, `postlikes`.`ProfileId`, `postlikes`.`CreateDate` FROM `postlikes` WHERE (`postlikes`.`ProfileId` = 5 AND `postlikes`.`PostId` = 14); args=(5, 14) (2016-02-03 10:28:14; utils.py:89)
DEBUG:django.db.backends: (0.000) SELECT `favorites`.`id`, `favorites`.`PostId`, `favorites`.`ProfileId`, `favorites`.`Type`, `favorites`.`CreateDate` FROM `favorites` WHERE (`favorites`.`ProfileId` = 5 AND `favorites`.`PostId` = 14 AND `favorites`.`Type` = 'F'); args=(5, 14, 'F') (2016-02-03 10:28:14; utils.py:89)
DEBUG:django.db.backends: (0.000) SELECT `postlikes`.`id`, `postlikes`.`PostId`, `postlikes`.`ProfileId`, `postlikes`.`CreateDate` FROM `postlikes` WHERE `postlikes`.`PostId` = 14; args=(14,) (2016-02-03 10:28:14; utils.py:89)
DEBUG:django.db.backends: (0.000) SELECT `comments`.`id`, `comments`.`PostId`, `comments`.`ProfileId`, `comments`.`Comment`, `comments`.`ParentCommentId`, `comments`.`CreateDate` FROM `comments` WHERE `comments`.`PostId` = 14; args=(14,) (2016-02-03 10:28:14; utils.py:89)
DEBUG:django.db.backends: (0.000) SELECT `favorites`.`id`, `favorites`.`PostId`, `favorites`.`ProfileId`, `favorites`.`Type`, `favorites`.`CreateDate` FROM `favorites` WHERE (`favorites`.`PostId` = 14 AND `favorites`.`Type` = 'F'); args=(14, 'F') (2016-02-03 10:28:14; utils.py:89)
DEBUG:django.db.backends: (0.000) SELECT `favorites`.`id`, `favorites`.`PostId`, `favorites`.`ProfileId`, `favorites`.`Type`, `favorites`.`CreateDate` FROM `favorites` WHERE (`favorites`.`PostId` = 14 AND `favorites`.`Type` = 'B'); args=(14, 'B') (2016-02-03 10:28:14; utils.py:89)
DEBUG:django.db.backends: (0.000) SELECT `favorites`.`id`, `favorites`.`PostId`, `favorites`.`ProfileId`, `favorites`.`Type`, `favorites`.`CreateDate` FROM `favorites` WHERE (`favorites`.`ProfileId` = 5 AND `favorites`.`PostId` = 14 AND `favorites`.`Type` = 'B'); args=(5, 14, 'B') (2016-02-03 10:28:14; utils.py:89)
DEBUG:django.db.backends: (0.000) SELECT `favorites`.`id`, `favorites`.`PostId`, `favorites`.`ProfileId`, `favorites`.`Type`, `favorites`.`CreateDate` FROM `favorites` WHERE `favorites`.`PostId` = 14; args=(14,) (2016-02-03 10:28:14; utils.py:89)
DEBUG:django.db.backends: (0.001) SELECT `profiles`.`id`, `profiles`.`UserId`, `profiles`.`FirstName`, `profiles`.`LastName`, `profiles`.`Gender`, `profiles`.`Age`, `profiles`.`ProfilePhoto`, `profiles`.`Banner`, `profiles`.`Website`, `profiles`.`Bio`, `profiles`.`Type`, `profiles`.`Location`, `profiles`.`ReferalCode`, `profiles`.`DefaultPage`, `profiles`.`UpdateDate` FROM `profiles` WHERE `profiles`.`UserId` = 5; args=(5,) (2016-02-03 10:28:14; utils.py:89)
DEBUG:django.db.backends: (0.000) SELECT `favorites`.`id`, `favorites`.`PostId`, `favorites`.`ProfileId`, `favorites`.`Type`, `favorites`.`CreateDate` FROM `favorites` WHERE (`favorites`.`ProfileId` = 5 AND `favorites`.`PostId` = 13 AND `favorites`.`Type` = 'F'); args=(5, 13, 'F') (2016-02-03 10:28:14; utils.py:89)
DEBUG:django.db.backends: (0.000) SELECT `favorites`.`id`, `favorites`.`PostId`, `favorites`.`ProfileId`, `favorites`.`Type`, `favorites`.`CreateDate` FROM `favorites` WHERE (`favorites`.`ProfileId` = 5 AND `favorites`.`PostId` = 13 AND `favorites`.`Type` = 'B'); args=(5, 13, 'B') (2016-02-03 10:28:14; utils.py:89)
DEBUG:django.db.backends: (0.000) SELECT `postlikes`.`id`, `postlikes`.`PostId`, `postlikes`.`ProfileId`, `postlikes`.`CreateDate` FROM `postlikes` WHERE (`postlikes`.`ProfileId` = 5 AND `postlikes`.`PostId` = 13); args=(5, 13) (2016-02-03 10:28:14; utils.py:89)
DEBUG:django.db.backends: (0.000) SELECT `favorites`.`id`, `favorites`.`PostId`, `favorites`.`ProfileId`, `favorites`.`Type`, `favorites`.`CreateDate` FROM `favorites` WHERE (`favorites`.`ProfileId` = 5 AND `favorites`.`PostId` = 13 AND `favorites`.`Type` = 'F'); args=(5, 13, 'F') (2016-02-03 10:28:14; utils.py:89)
